cost;payment_date;payment_method
707585;2022-02-13;Credit Card
57926;10.12.2022;Cash
818865;2022-11-20;Credit Card
361370;2022-07-16;Debit Card
528131;2022-03-21;Wire Transfer
234762;2022-11-20;Check
114648;2022-08-24;E-money
609810;2022-12-16;Cryptocurrency
292119;2022-09-11;Bank Transfer
933523;2022-06-06;Mobile Payment
134353;2022-08-27;Online Payment
243110;2022-10-14;PayPal
779665;2022-11-24;Google Pay
532781;2022-12-26;Apple Pay
964516;2022-06-26;Partial Payment
456797;2022-04-11;Subscription Payment
122898;2022-01-10;Payment on Delivery (COD)
567968;2022-05-13;Non-cash Payment
88072;2022-09-22;Bill Payment
215803;2022-08-12;Cash
625047;2022-06-12;Credit Card
508122;2022-12-22;Mobile Payment
355244;2022-02-21;Online Payment
694534;2022-09-29;PayPal
104757;2022-06-22;Google Pay
211811;2022-02-05;Cash
619242;2022-01-10;Credit Card
445274;2022-04-02;Cash
588600;2022-01-26;Credit Card
372660;2022-09-23;Cash
345579;2022-02-06;Credit Card
53057;2022-03-08;Debit Card
614249;2022-01-14;Wire Transfer
369703;2022-11-19;Check
890378;2022-03-06;E-money
115048;2022-09-09;Cryptocurrency
893271;2022-12-21;Bank Transfer
209877;2022-11-30;Mobile Payment
999845;2022-07-19;Online Payment
219336;2022-06-27;PayPal
836534;2022-09-19;Google Pay
595929;2022-02-10;Apple Pay
804199;2022-11-06;Partial Payment
75465;2022-02-27;Subscription Payment
259136;2022-01-05;Payment on Delivery (COD)
790808;2022-07-30;Non-cash Payment
654239;2022-09-16;Bill Payment
107796;2022-02-27;Cash
202498;2022-12-26;Credit Card
665429;2022-10-28;Mobile Payment
588846;2022-12-17;Online Payment
624412;2022-07-25;PayPal
788202;2022-02-23;Google Pay
276471;2022-03-11;Cash
209674;2022-06-20;Credit Card
900026;2022-10-27;Cash
546437;2022-10-04;Credit Card
667159;2022-12-03;Cash
581898;2022-02-06;Credit Card
751830;2022-01-15;Debit Card
866156;2022-02-11;Wire Transfer
935405;2022-04-25;Check
165014;2022-06-10;E-money
427653;2022-09-14;Cryptocurrency
755129;2022-09-06;Bank Transfer
690706;2022-05-08;Mobile Payment
807683;2022-02-09;Online Payment
236741;2022-09-30;PayPal
353770;2022-05-25;Google Pay
467309;2022-02-14;Apple Pay
972858;2022-11-16;Partial Payment
901428;2022-05-26;Subscription Payment
345299;2022-11-25;Payment on Delivery (COD)
167788;2022-12-13;Non-cash Payment
79330;2022-11-09;Bill Payment
449911;2022-06-17;Cash
926517;2022-06-10;Credit Card
559226;2022-05-04;Mobile Payment
634038;2022-03-24;Online Payment
407130;2022-08-07;PayPal
353847;2022-08-21;Google Pay
261311;2022-10-01;Cash
275862;2022-02-01;Credit Card
412506;2022-11-08;Cash
754811;2022-09-06;Credit Card
892852;2022-12-29;Cash
833923;2022-09-15;Credit Card
90956;2022-04-06;Debit Card
452021;2022-09-10;Wire Transfer
46488;2022-08-12;Check
775446;2022-11-21;E-money
465857;2022-11-14;Cryptocurrency
554025;2022-07-03;Bank Transfer
87791;2022-06-10;Mobile Payment
714453;2022-12-24;Online Payment
582899;2022-10-15;PayPal
920226;2022-02-18;Google Pay
196150;2022-12-25;Apple Pay
184193;03.11.2022;Partial Payment
907226;2022-11-08;Subscription Payment
476774;2022-05-13;Payment on Delivery (COD)
702827;2022-11-13;Non-cash Payment
131433;2022-06-20;Bill Payment
519727;2022-04-14;Cash
656563;2022-10-03;Credit Card
681082;2022-01-20;Mobile Payment
417052;2022-07-02;Online Payment
305593;2022-06-02;PayPal
974876;2022-03-01;Google Pay
439499;2022-03-02;Cash
46661;2022-05-15;Credit Card
214420;2022-07-22;Cash
417718;2022-05-26;Credit Card
531749;2022-01-30;Cash
750360;2022-12-18;Credit Card
91918;2022-09-03;Debit Card
525019;2022-08-10;Wire Transfer
780736;2022-03-11;Check
356419;2022-01-16;E-money
868928;2022-10-08;Cryptocurrency
849675;2022-08-19;Bank Transfer
315799;2022-05-03;Mobile Payment
876384;2022-10-08;Online Payment
285366;2022-05-31;PayPal
919157;2022-10-27;Google Pay
296608;2022-05-15;Apple Pay
133901;2022-05-06;Partial Payment
473165;2022-08-28;Subscription Payment
472998;2022-09-30;Payment on Delivery (COD)
103017;2022-02-04;Non-cash Payment
150853;2022-10-16;Bill Payment
701230;2022-05-26;Cash
723425;2022-06-26;Credit Card
878262;2022-09-10;Mobile Payment
191756;2022-08-12;Online Payment
953276;2022-05-11;PayPal
447597;2022-05-12;Google Pay
909887;2022-12-12;Cash
393465;2022-08-03;Credit Card
625809;19.04.2022;Cash
106940;2022-08-18;Credit Card
687304;2022-11-25;Cash
846957;2022-02-02;Credit Card
357470;2022-01-23;Debit Card
736880;2022-08-09;Wire Transfer
886183;2022-09-30;Check
445238;2022-07-02;E-money
197097;08.01.2022;Cryptocurrency
144300;2022-12-16;Bank Transfer
273741;2022-07-21;Mobile Payment
395861;2022-12-05;Online Payment
206391;2022-10-28;PayPal
444600;2022-04-03;Google Pay
782050;2022-12-27;Apple Pay
509970;2022-11-17;Partial Payment
66016;2022-03-19;Subscription Payment
775017;2022-10-06;Payment on Delivery (COD)
474436;2022-01-03;Non-cash Payment
443392;2022-11-30;Bill Payment
957831;2022-03-17;Cash
665509;2022-04-26;Credit Card
596770;2022-09-26;Mobile Payment
502180;2022-08-15;Online Payment
573266;2022-12-19;PayPal
591847;2022-03-09;Google Pay
927403;2022-10-19;Cash
429474;2022-06-07;Credit Card
574097;2022-10-24;Cash
249430;2022-02-08;Credit Card
660747;2022-02-27;Cash
371614;2022-09-22;Credit Card
131033;2022-01-13;Debit Card
491207;2022-01-29;Wire Transfer
688762;2022-08-22;Check
344229;2022-01-12;E-money
673191;2022-02-06;Cryptocurrency
969612;2022-01-02;Bank Transfer
377789;2022-11-08;Mobile Payment
213026;2022-07-04;Online Payment
259152;2022-09-03;PayPal
580835;2022-12-13;Google Pay
851718;2022-04-04;Apple Pay
656532;2022-03-13;Partial Payment
688845;2022-09-25;Subscription Payment
389545;2022-06-16;Payment on Delivery (COD)
728792;2022-12-19;Non-cash Payment
191566;2022-05-26;Bill Payment
503533;14.10.2022;Cash
257573;2022-01-31;Credit Card
449122;2022-05-20;Mobile Payment
666169;2022-12-02;Online Payment
947980;2022-07-14;PayPal
161160;21.10.2022;Google Pay
90566;2022-01-02;Cash
510048;2022-01-31;Credit Card
721287;2022-05-22;Cash
291423;2022-11-22;Credit Card
81877;2022-07-19;Cash
533551;2022-04-08;Credit Card
506218;2022-08-23;Debit Card
245029;2022-11-24;Wire Transfer
112133;2022-07-17;Check
523294;2022-04-22;E-money
459763;2022-02-28;Cryptocurrency
128445;2022-03-16;Bank Transfer
290572;2022-12-27;Mobile Payment
393098;2022-07-12;Online Payment
205561;2022-08-24;PayPal
518332;2022-02-17;Google Pay
570029;2022-11-18;Apple Pay
957161;2022-05-07;Partial Payment
58771;2022-04-23;Subscription Payment
310070;2022-02-22;Payment on Delivery (COD)
539963;2022-10-10;Non-cash Payment
938399;2022-03-06;Bill Payment
150688;2022-03-04;Cash
31949;2022-12-24;Credit Card
274985;2022-07-23;Mobile Payment
963144;2022-06-13;Online Payment
655489;2022-11-05;PayPal
413103;2022-04-21;Google Pay
564511;2022-04-21;Cash
79829;2022-12-26;Credit Card
998325;2022-09-02;Cash
90774;2022-02-04;Credit Card
424936;2022-03-23;Cash
369912;19.12.2022;Credit Card
700014;2022-04-03;Debit Card
762500;2022-01-12;Wire Transfer
656302;2022-05-20;Check
836508;2022-02-18;E-money
578667;2022-07-18;Cryptocurrency
95962;2022-03-15;Bank Transfer
364046;2022-03-02;Mobile Payment
236123;2022-04-03;Online Payment
812236;2022-05-04;PayPal
702523;2022-12-23;Google Pay
900818;2022-03-05;Apple Pay
120715;2022-12-25;Partial Payment
15138;2022-10-13;Subscription Payment
957893;2022-07-02;Payment on Delivery (COD)
263726;2022-10-19;Non-cash Payment
89447;2022-05-06;Bill Payment
810565;2022-07-07;Cash
606751;2022-10-01;Credit Card
500548;2022-05-28;Mobile Payment
408679;2022-11-07;Online Payment
646258;2022-08-21;PayPal
348196;2022-06-30;Google Pay
910809;2022-03-09;Cash
307142;2022-04-19;Credit Card
105068;2022-04-13;Cash
285428;2022-05-04;Credit Card
122496;2022-03-18;Cash
401689;2022-05-31;Credit Card
346480;2022-07-31;Debit Card
775675;2022-03-10;Wire Transfer
562128;2022-01-26;Check
484781;2022-05-03;E-money
639219;2022-12-25;Cryptocurrency
942485;2022-10-31;Bank Transfer
875192;2022-04-29;Mobile Payment
643608;2022-03-20;Online Payment
90952;2022-07-26;PayPal
932947;2022-01-09;Google Pay
599765;2022-05-24;Apple Pay
109134;2022-03-28;Partial Payment
311273;2022-03-08;Subscription Payment
361242;2022-07-26;Payment on Delivery (COD)
929729;2022-07-06;Non-cash Payment
931623;2022-04-26;Bill Payment
668279;2022-05-10;Cash
680676;2022-10-25;Credit Card
467932;2022-10-06;Mobile Payment
991295;23.01.2022;Online Payment
476173;2022-12-09;PayPal
232787;2022-06-28;Google Pay
210431;2022-01-23;Cash
788993;2022-06-30;Credit Card
783748;2022-08-18;Cash
249396;2022-11-27;Credit Card
177151;2022-12-10;Cash
36661;2022-02-07;Credit Card
137304;2022-07-19;Debit Card
690700;2022-01-03;Wire Transfer
911679;2022-09-20;Check
113860;2022-05-28;E-money
950113;2022-09-20;Cryptocurrency
466745;2022-10-09;Bank Transfer
764341;2022-04-06;Mobile Payment
770070;2022-10-05;Online Payment
406937;22.09.2022;PayPal
900015;2022-07-24;Google Pay
139056;2022-02-26;Apple Pay
576491;2022-08-18;Partial Payment
734891;2022-02-05;Subscription Payment
668286;2022-05-07;Payment on Delivery (COD)
925850;2022-04-27;Non-cash Payment
623344;2022-12-30;Bill Payment
114171;2022-04-15;Cash
983437;2022-01-23;Credit Card
431501;2022-01-13;Mobile Payment
610328;2022-02-22;Online Payment
66981;2022-12-04;PayPal
268987;2022-02-15;Google Pay
381071;2022-10-03;Cash
865785;2022-10-17;Credit Card
916908;2022-06-25;Cash
194929;2022-03-15;Credit Card
727166;2022-05-26;Cash
557975;2022-04-13;Credit Card
252511;2022-12-28;Debit Card
475495;2022-03-23;Wire Transfer
741760;2022-02-13;Check
313387;2022-07-11;E-money
811034;2022-01-20;Cryptocurrency
742784;2022-12-05;Bank Transfer
955559;2022-01-02;Mobile Payment
351901;2022-01-04;Online Payment
762683;2022-04-13;PayPal
166733;2022-05-27;Google Pay
846089;2022-08-17;Apple Pay
275062;29.03.2022;Partial Payment
537676;2022-12-16;Subscription Payment
444536;2022-02-26;Payment on Delivery (COD)
237944;2022-07-29;Non-cash Payment
513678;2022-07-30;Bill Payment
37406;2022-11-27;Cash
809004;2022-09-18;Credit Card
856117;2022-07-07;Mobile Payment
400862;2022-07-10;Online Payment
770892;2022-08-05;PayPal
798564;2022-04-04;Google Pay
914240;06.06.2022;Cash
297110;27.01.2022;Credit Card
28525;2022-05-22;Cash
155458;2022-03-28;Credit Card
152529;2022-09-29;Cash
503866;2022-08-30;Credit Card
291393;2022-04-04;Debit Card
492974;2022-06-03;Wire Transfer
87697;2022-02-23;Check
751932;2022-12-19;E-money
699565;2022-03-10;Cryptocurrency
726295;2022-03-31;Bank Transfer
588768;2022-08-06;Mobile Payment
286027;2022-04-17;Online Payment
503186;2022-12-17;PayPal
808822;2022-03-21;Google Pay
580083;2022-01-19;Apple Pay
349716;2022-01-31;Partial Payment
323978;2022-01-31;Subscription Payment
561500;2022-08-15;Payment on Delivery (COD)
621793;2022-12-20;Non-cash Payment
263460;2022-05-24;Bill Payment
314703;2022-04-22;Cash
335719;2022-10-14;Credit Card
858399;2022-01-25;Mobile Payment
892393;2022-01-30;Online Payment
557000;2022-07-19;PayPal
497511;2022-04-07;Google Pay
82872;2022-03-05;Cash
565310;2022-02-07;Credit Card
14532;2022-10-30;Cash
245846;2022-11-08;Credit Card
871273;2022-07-12;Cash
559121;2022-10-03;Credit Card
926573;2022-01-02;Debit Card
768198;2022-10-27;Wire Transfer
989154;2022-12-22;Check
557838;2022-09-30;E-money
884449;2022-05-19;Cryptocurrency
314244;2022-02-23;Bank Transfer
557599;2022-09-29;Mobile Payment
592572;2022-07-31;Online Payment
785021;2022-02-08;PayPal
995101;2022-05-28;Google Pay
227030;2022-07-24;Apple Pay
333807;2022-11-18;Partial Payment
659511;2022-11-09;Subscription Payment
211794;2022-06-17;Payment on Delivery (COD)
70949;2022-11-27;Non-cash Payment
851632;2022-03-08;Bill Payment
962253;2022-08-16;Cash
532844;2022-07-16;Credit Card
821955;2022-04-25;Mobile Payment
930916;2022-07-24;Online Payment
949663;2022-05-20;PayPal
56215;2022-12-03;Google Pay
399628;30.06.2022;Cash
146608;2022-09-28;Credit Card
511674;2022-12-20;Cash
64449;2022-06-18;Credit Card
30168;2022-12-23;Cash
63275;2022-12-24;Credit Card
86909;2022-09-06;Debit Card
116823;2022-11-13;Wire Transfer
716979;2022-02-16;Check
399188;2022-09-13;E-money
261783;17.05.2022;Cryptocurrency
160657;2022-07-07;Bank Transfer
811829;2022-05-15;Mobile Payment
481478;2022-07-09;Online Payment
592599;2022-09-15;PayPal
954826;2022-05-20;Google Pay
733373;2022-09-30;Apple Pay
809272;2022-12-17;Partial Payment
891175;2022-01-17;Subscription Payment
345284;2022-01-16;Payment on Delivery (COD)
539364;2022-05-01;Non-cash Payment
619469;2022-05-19;Bill Payment
781172;2022-01-17;Cash
214533;2022-09-23;Credit Card
326985;2022-10-06;Mobile Payment
376979;2022-12-11;Online Payment
477527;2022-07-11;PayPal
366823;2022-09-23;Google Pay
653414;2022-07-18;Cash
578375;2022-05-25;Credit Card
858669;2022-12-17;Cash
439768;2022-07-05;Credit Card
280260;2022-07-17;Cash
657946;2022-01-18;Credit Card
612447;2022-12-01;Debit Card
740873;2022-11-28;Wire Transfer
973586;2022-12-03;Check
646453;2022-07-01;E-money
633015;2022-03-27;Cryptocurrency
116696;2022-09-13;Bank Transfer
532624;2022-12-12;Mobile Payment
359883;2022-09-10;Online Payment
474372;2022-10-03;PayPal
531291;2022-11-12;Google Pay
115830;2022-01-31;Apple Pay
460934;2022-03-10;Partial Payment
543461;2022-05-26;Subscription Payment
62207;2022-07-20;Payment on Delivery (COD)
254096;2022-12-18;Non-cash Payment
279329;2022-06-19;Bill Payment
599892;2022-07-15;Cash
456437;2022-12-16;Credit Card
596305;2022-07-13;Mobile Payment
461160;2022-01-14;Online Payment
75821;2022-03-31;PayPal
651611;2022-10-23;Google Pay
621582;2022-06-25;Cash
538091;2022-04-10;Credit Card
365809;2022-05-06;Cash
31159;2022-10-10;Credit Card
434256;2022-10-09;Cash
703124;2022-10-23;Credit Card
586534;2022-11-19;Debit Card
195058;2022-01-03;Wire Transfer
647554;17.12.2022;Check
562617;2022-05-21;E-money
145562;2022-04-20;Cryptocurrency
973056;2022-04-14;Bank Transfer
294153;2022-10-13;Mobile Payment
524242;2022-09-18;Online Payment
191004;2022-02-02;PayPal
298867;2022-12-15;Google Pay
989743;2022-08-14;Apple Pay
843662;2022-08-24;Partial Payment
620120;2022-09-28;Subscription Payment
911213;2022-10-14;Payment on Delivery (COD)
542739;2022-02-10;Non-cash Payment
75438;2022-06-07;Bill Payment
742789;2022-05-08;Cash
333327;2022-07-12;Credit Card
411959;2022-03-14;Mobile Payment
741809;2022-05-08;Online Payment
869165;2022-11-16;PayPal
619114;2022-09-27;Google Pay
432359;2022-08-15;Cash
211427;2022-02-07;Credit Card
260171;2022-07-04;Cash
698210;2022-03-09;Credit Card
491173;2022-02-11;Cash
478228;2022-02-11;Credit Card
838655;2022-12-17;Debit Card
764651;2022-10-26;Wire Transfer
515108;2022-01-18;Check
151073;2022-02-20;E-money
818412;2022-03-07;Cryptocurrency
889114;2022-12-10;Bank Transfer
437749;2022-11-20;Mobile Payment
625469;2022-09-18;Online Payment
926730;2022-01-03;PayPal
958704;2022-12-06;Google Pay
350050;2022-09-08;Apple Pay
807197;2022-07-19;Partial Payment
259453;2022-11-18;Subscription Payment
403184;2022-08-14;Payment on Delivery (COD)
388495;11.11.2022;Non-cash Payment
379480;16.01.2022;Bill Payment
594524;2022-08-02;Cash
409166;2022-03-15;Credit Card
630940;2022-08-29;Mobile Payment
41249;2022-10-23;Online Payment
155057;2022-10-16;PayPal
856901;2022-01-10;Google Pay
497503;2022-04-01;Cash
461244;2022-06-13;Credit Card
988957;2022-02-08;Cash
888737;2022-10-28;Credit Card
313759;2022-03-23;Cash
979764;2022-11-02;Credit Card
320306;2022-01-08;Debit Card
19142;2022-09-01;Wire Transfer
845555;2022-09-13;Check
561808;2022-12-28;E-money
299514;2022-04-21;Cryptocurrency
714271;2022-06-03;Bank Transfer
986597;2022-09-10;Mobile Payment
336578;2022-09-21;Online Payment
406756;2022-04-15;PayPal
248311;2022-04-11;Google Pay
349064;2022-09-03;Apple Pay
288802;2022-11-04;Partial Payment
574375;2022-05-06;Subscription Payment
183057;2022-10-13;Payment on Delivery (COD)
778968;2022-03-17;Non-cash Payment
419170;2022-07-21;Bill Payment
718052;2022-03-03;Cash
471069;2022-05-02;Credit Card
904972;2022-08-25;Mobile Payment
99105;2022-09-14;Online Payment
720002;2022-10-30;PayPal
768518;2022-08-11;Google Pay
998664;2022-10-21;Cash
923767;2022-09-30;Credit Card
138351;2022-10-21;Cash
272397;19.12.2022;Credit Card
841435;2022-05-12;Cash
694600;2022-10-23;Credit Card
768405;2022-06-07;Debit Card
276781;2022-07-17;Wire Transfer
549544;2022-11-05;Check
888862;2022-04-07;E-money
788643;2022-08-27;Cryptocurrency
756297;2022-05-12;Bank Transfer
912470;2022-05-22;Mobile Payment
545990;2022-06-19;Online Payment
574353;2022-02-18;PayPal
802525;2022-10-07;Google Pay
878641;2022-03-01;Apple Pay
440982;2022-11-13;Partial Payment
827540;2022-08-06;Subscription Payment
213327;2022-05-31;Payment on Delivery (COD)
994794;2022-04-22;Non-cash Payment
930785;2022-12-09;Bill Payment
13218;26.02.2022;Cash
914527;2022-03-13;Credit Card
594616;2022-01-06;Mobile Payment
379174;2022-10-09;Online Payment
467819;2022-11-20;PayPal
47365;2022-09-30;Google Pay
406938;2022-11-16;Cash
198601;2022-04-20;Credit Card
989402;2022-04-26;Cash
266716;2022-09-04;Credit Card
949368;2022-09-12;Cash
280447;2022-03-31;Credit Card
354421;2022-09-27;Debit Card
805494;2022-10-20;Wire Transfer
423718;2022-08-17;Check
30379;2022-12-16;E-money
170688;2022-06-18;Cryptocurrency
13134;2022-07-25;Bank Transfer
211300;2022-09-29;Mobile Payment
744420;2022-10-13;Online Payment
92516;2022-02-19;PayPal
905778;2022-04-24;Google Pay
239252;2022-09-19;Apple Pay
481203;2022-10-11;Partial Payment
356229;2022-05-30;Subscription Payment
155776;2022-09-19;Payment on Delivery (COD)
258736;2022-05-15;Non-cash Payment
917265;2022-02-14;Bill Payment
940212;2022-04-05;Cash
724515;2022-04-10;Credit Card
784042;2022-05-26;Mobile Payment
386885;2022-07-17;Online Payment
29542;2022-05-01;PayPal
283971;2022-05-28;Google Pay
203279;2022-12-08;Cash
308930;2022-09-30;Credit Card
883248;2022-11-10;Cash
69557;2022-03-03;Credit Card
306819;2022-04-09;Cash
57588;2022-07-07;Credit Card
859145;2022-03-28;Debit Card
849972;2022-09-12;Wire Transfer
977420;2022-10-14;Check
180586;2022-10-16;E-money
85647;2022-04-24;Cryptocurrency
643101;2022-12-03;Bank Transfer
974569;2022-03-05;Mobile Payment
623303;2022-12-29;Online Payment
576981;2022-07-13;PayPal
336517;2022-03-29;Google Pay
